concept1,concept2,color1,color2,deltaS_sample,deltaS_fit
mango,banana,WH,DH,0.09164223506297109,0.09003215272073961
mango,sandstorm,WH,DH,0.46792441724227785,0.4611219584113254
justice,sad,WH,DH,0.49538475305973595,0.5148276959586728
justice,tree,WH,DH,0.8464569840531266,0.8695649552221432
justice,peach,WH,DH,0.6824214249445388,0.7008318567904783
justice,angry,WH,DH,0.6568926892349713,0.7036751351820596
justice,peace,WH,DH,0.07303172646901968,0.07967736044066642
justice,happy,WH,DH,0.07530144378019576,0.07995205152769591
justice,lightning,WH,DH,0.29569821514741124,0.3082180983355567
justice,death,WH,DH,0.22359261916136797,0.2505193193490207
justice,banana,WH,DH,0.7064196342931439,0.7446554865354287
justice,sandstorm,WH,DH,0.4155831066817459,0.4463096140927827
sad,tree,WH,DH,0.5187584385626758,0.5127290644266835
sad,peach,WH,DH,0.23158741588372722,0.22517559712306667
sad,angry,WH,DH,0.17239950919682046,0.17491081301034472
sad,peace,WH,DH,0.43477127167721474,0.4411062401032132
sad,happy,WH,DH,0.4448928166058971,0.4409467507669753
sad,lightning,WH,DH,0.23973562652170854,0.2344919651989813
sad,death,WH,DH,0.27684487901362065,0.2897500223577296
sad,banana,WH,DH,0.2889570282440561,0.29193931813817553
sad,sandstorm,WH,DH,0.09475799418508501,0.09584513322654309
tree,peach,WH,DH,0.3307417909308761,0.3226315544967959
tree,angry,WH,DH,0.4096747529347933,0.4188077288133626
tree,peace,WH,DH,0.8152883775442709,0.826050521185683
tree,happy,WH,DH,0.8280795675733772,0.8260037619715318
tree,lightning,WH,DH,0.7088590808706938,0.6994394324340203
tree,death,WH,DH,0.7071881904322839,0.7357665779813818
tree,banana,WH,DH,0.24957224055282468,0.254047668746052
tree,sandstorm,WH,DH,0.5942887770868674,0.6032766664690918
peach,angry,WH,DH,0.07338947278936969,0.07367617527314596
peach,peace,WH,DH,0.6327398289506362,0.6360772478615775
peach,happy,WH,DH,0.6464725482700717,0.6359695702572122
peach,lightning,WH,DH,0.4683720669084107,0.45400660073207944
peach,death,WH,DH,0.4863603898179957,0.5040557106120678
peach,banana,WH,DH,0.07221436678198034,0.07230462447750341
peach,sandstorm,WH,DH,0.3250765362016297,0.3257344050691948
angry,peace,WH,DH,0.6027782307400897,0.6307803648790403
angry,happy,WH,DH,0.6173988772146008,0.6306668621835314
angry,lightning,WH,DH,0.4239702116833224,0.4280778094322777
angry,death,WH,DH,0.4455712704229742,0.4838212854856597
angry,banana,WH,DH,0.14455481616002586,0.15205327198622776
angry,sandstorm,WH,DH,0.27153794609229465,0.28525427711483364
peace,happy,WH,DH,2.4880461902920814e-4,2.55795465900599e-4
peace,lightning,WH,DH,0.2244245957015505,0.22724644501204283
peace,death,WH,DH,0.15558491941623354,0.16930578139967434
peace,banana,WH,DH,0.6609607320492961,0.6842336451560367
peace,sandstorm,WH,DH,0.35093209222494215,0.3670757522049084
happy,lightning,WH,DH,0.2304325133031968,0.22703348992222883
happy,death,WH,DH,0.1591646773676978,0.16908089856688924
happy,banana,WH,DH,0.6737504933450236,0.6841408634263062
