expCountry,concept,color,weight,se,hex,barStroke
usa,sandstorm,SY,0.29,0.044,#fff329,#fff329
usa,sandstorm,WH,0.254,0.042,#ffffff,#000000
usa,sick,A1,0.451,0.051,#656168,#656168
usa,sick,A2,0.442,0.048,#9d97a0,#9d97a0
usa,sick,A3,0.242,0.04,#d8cfdb,#d8cfdb
usa,sick,BK,0.479,0.051,#323033,#323033
usa,sick,DB,0.202,0.037,#386089,#386089
usa,sick,DC,0.24,0.037,#297375,#297375
usa,sick,DG,0.404,0.048,#21704f,#21704f
usa,sick,DH,0.7,0.043,#677f35,#677f35
usa,sick,DO,0.515,0.044,#864d2b,#864d2b
usa,sick,DP,0.162,0.029,#723484,#723484
usa,sick,DR,0.421,0.044,#8a2b38,#8a2b38
usa,sick,DY,0.737,0.04,#8a7527,#8a7527
usa,sick,LB,0.18,0.031,#aacffb,#aacffb
usa,sick,LC,0.21,0.035,#9de5e4,#9de5e4
usa,sick,LG,0.311,0.035,#95e2b8,#95e2b8
usa,sick,LH,0.429,0.042,#dbf099,#dbf099
usa,sick,LO,0.297,0.042,#fbc9a3,#fbc9a3
usa,sick,LP,0.127,0.027,#dfa7fa,#dfa7fa
usa,sick,LR,0.212,0.035,#fc9fa3,#fc9fa3
usa,sick,LY,0.339,0.038,#fff498,#fff498
usa,sick,MB,0.179,0.03,#7196c0,#7196c0
usa,sick,MC,0.222,0.035,#65acac,#65acac
usa,sick,MG,0.423,0.041,#62ae88,#62ae88
usa,sick,MH,0.659,0.035,#a0b668,#a0b668
usa,sick,MO,0.408,0.039,#ce916c,#ce916c
usa,sick,MP,0.15,0.028,#a66fbd,#a66fbd
usa,sick,MR,0.262,0.039,#c5666b,#c5666b
usa,sick,MY,0.516,0.038,#dab572,#dab572
usa,sick,SB,0.125,0.026,#4fa7ef,#4fa7ef
usa,sick,SC,0.152,0.03,#27d1cd,#27d1cd
usa,sick,SG,0.336,0.043,#04c981,#04c981
