concept_a,concept_b,category,color_a,color_b,deltaS_mg,deltaS_us
angry,sandstorm,MG_low__US_low,DB,DH,0.018134044202693378,0.09315463630531284
angry,sick,MG_low__US_high,DB,DH,0.02602929585991376,0.7116784382504564
angry,tree,MG_high__US_high,DB,DH,0.4093498521968173,0.9245430951368394
banana,justice,MG_high__US_high,DB,DH,0.5334070420181547,0.6090046033757115
banana,lightning,MG_high__US_high,DB,DH,0.5382806147109076,0.6604850962929323
banana,mango,MG_low__US_low,DB,DH,0.0547116470885034,0.08742223033918783
death,safety,MG_low__US_low,DB,DH,0.07479275836398447,0.011402913598024034
death,sick,MG_low__US_high,DB,DH,0.04377976720719756,0.7667481779057708
death,tree,MG_high__US_high,DB,DH,0.45385865398235725,0.932690657776053
happy,lightning,MG_low__US_low,DB,DH,0.07492205135419483,0.023912213595613296
happy,tree,MG_high__US_high,DB,DH,0.6036525598522222,0.8786260901730394
justice,mango,MG_high__US_high,DB,DH,0.4500845694139368,0.6382938912026697
justice,tree,MG_high__US_high,DB,DH,0.5750603778424321,0.933801854978132
lightning,mango,MG_high__US_high,DB,DH,0.45658225233433547,0.6862046634201469
